,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
513,ODSC Tel Aviv Data Science,Tel Aviv-Yafo,Israel,Asia,607,https://www.meetup.com/Tel-Aviv-Data-Science-ODSC/,02-08-2019,47,3,public,08-06-2021
514,ODSC Kolkata Data Science,Kolkata,India,Asia,1253,https://www.meetup.com/ODSC-Kolkata-Data-Science/,19-08-2019,43,2,public,10-06-2021
515,"Los Angeles Data Science,Machine Learning, AI",Los Angeles,USA,US/Canada,336,https://www.meetup.com/Los-Angeles-Data-Science-Machine-Learning-AI/,20-04-2020,66,2,public,24-05-2021
516,ODSC Toronto Data Science,Toronto,Canada,US/Canada,625,https://www.meetup.com/ODSC-Toronto-Data-Science/,22-11-2019,65,1,public,02-06-2021
517,ODSC Lagos Data Science,Lagos,Nigeria,Africa,1250,https://www.meetup.com/ODSC-Data-Science-Lagos/,20-09-2019,54,3,public,08-06-2021
518,ODSC Dallas Data Science,Dallas,USA,US/Canada,368,https://www.meetup.com/ODSC-Dallas-Data-Science/,22-11-2019,62,1,public,02-06-2021
519,Ouagadougou Data Science Meetup Group,Ouagadougou,Burkina Faso,Africa,104,https://www.meetup.com/ouagadougou-data-science/,06-02-2021,5,0,public,01-06-2021
520,ODSC Montréal Data Science,Montréal,Canada,US/Canada,315,https://www.meetup.com/ODSC-Montreal-Data-Science/,28-11-2019,62,1,public,02-06-2021
521,ODSC Houston Data Science,Houston,USA,US/Canada,249,https://www.meetup.com/ODSC-Houston-Data-Science/,28-11-2019,65,1,public,02-06-2021
522,ODSC Hong Kong Data Science,Hong Kong,Hong Kong,Asia,196,https://www.meetup.com/ODSC-Hong-Kong-Data-Science/,19-08-2019,14,1,public,19-12-2020
523,Heilbronn Data Science Gruppe,Heilbronn,Germany,Europe,18,https://www.meetup.com/Heilbronn-Data-Science-Gruppe/,19-09-2019,0,0,public,01-01-1970
524,Copenhagen Women in Machine Learning & Data Science,Copenhagen,Denmark,Europe,176,https://www.meetup.com/Copenhagen-Women-in-Machine-Learning-and-Data-Science/,26-06-2019,1,0,public,16-12-2019
525,Data Science MIA,Miami,USA,US/Canada,222,https://www.meetup.com/Miami-Artificial-Intelligence-Meetup-Group/,13-10-2019,9,3,public,21-04-2021
